CHARACTER	DIALOGUE
MARMARA	And that is how war broke out between Man and Gods. Now eat your dinner, which the Gods -- and your father -- have provided.
PERSEUS	You... I saw you watching our boat at the cliff.
WILTING GIRL	It was not the boat I was watching.
PERSEUS	Can I be of service?
WILTING GIRL	Yes, of service. I need you to come with me on a journey. Perseus gives her a look.
PERSEUS	Right now? It wouldn't take much persuading to get me to leave this village, but tonight is impossible. My family can't wake and find me gone. Where do you want me to go?
WILTING GIRL	It's not what I want. I am in the service of others. Perseus can't get over her beauty, the dulcet sound of her voice. Even so --
PERSEUS	Come back in the morning and we can talk about it.
WILTING GIRL	I'm sorry.
PERSEUS	For what? Perseus doesn't notice the black widow spider scurry He feels the first spider and looks down. The creatures
PERSEUS' WOOZY POV	The Wilting Girl standing placidly in the doorway watching him.
BACK TO SCENE	He blacks out.
CLOSER	We SEE that she is also watching Perseus, who is sleeping healing as we look at them. Perseus stirs and wakes, squinting up at the Wilting
PERSEUS	How long have I been out?
WILTING GIRL	This time? Only a few hours. The time before, almost a day. How was your rest?
PERSEUS	I had a dream. I fell into a dark pit. I thought I would never stop falling. But a beam of light formed a soft net, caught me and tossed me back. TheWilting Girl watches him.
PERSEUS	When I came back up to the world, a beautiful woman appeared and spoke to me. But as she spoke she would sometimes disappear into the whiteness with a strange sound.
PERSEUS' POV	The Wilting Girl listens to his story.
PERSEUS	When I could hear her, she spoke nonsense. She said that my father was a God and my mother a -- At that moment the blinding-white sail swings between
PERSEUS' FACE	as he realizes she is his vision.
WILTING GIRL	You are special, Perseus. Your birth was ordained for this very purpose.
PERSEUS	I am an ordinary man.
WILTING GIRL	Do you ever lie awake during a storm and listen to the thunder? And it sounds as though it matches the beating of your heart? He doesn't have to answer; it's written on his face.
WILTING GIRL	How long can you hold your breath? Longer than the others? Are there times when you know you should feel pain, but you don't?
PERSEUS	None of that means anything.
WILTING GIRL	Look at your arms, Perseus. Perseus watches the bites on his arm heal visibly.
PERSEUS	A good trick. You must be the demigod, not me. I'm a Chthonian.
PERSEUS	A Chthonian?
WILTING GIRL	An Earth Goddess. The Gods have a caste system just as men do. The Olympians are our nobility -- few but cosmic. The Chthonians are the peasants. Our abode is this earth, and we exist as long as men worship us.
PERSEUS	And when none worship you? Sadness flickers through her extraordinary eyes. We fade away. This touches Perseus deeply. His tone changes.
PERSEUS	And demigods, where do they stand in your hierarchy?
WILTING GIRL	Nowhere. Sorry.
PERSEUS	If demigods rank so low, why do you need me?
WILTING GIRL	For a marriage.
PERSEUS	What!
WILTING GIRL	Zeus, God of Gods, has proposed a treaty to end the war. At the center is the marriage of a mortal with a demigod.
PERSEUS	Who, me?
WILTING GIRL	Zeus himself has chosen you. A demigod may be less than a God, but he's more than a Man. One foot in Humanity, the other in Divinity. Your marriage will be a symbol of accord between our races.
PERSEUS	Forget it.
WILTING GIRL	Such a union could save millions of souls. Perseus is struck by that. He looks off across the sea.
PERSEUS	And just who exactly am I supposed to marry? The BOY is AGENOR, a kitchen helper -- ripped and sexy. Andromeda holds him at bay --
ANDROMEDA	Do you think you can manhandle a Princess this way? As though she was hungry and needy as you, a mere servant? Another steamy kiss. In between liplocks, she whispers
ANDROMEDA	very mistaken... a woman of my station... never be attracted... They go at it again. She's PESHET, handmaid to Princessa Andromeda. She has a
PESHET	Princess... Princess! The Princess is not here. Find another... Princess.
PESHET	The Queen approaches! I don't care!
PESHET	Andromeda! You'll care enough if you're caught! Remember last time... From inside we HEAR complaining, more kissing and
CASSIOPEIA (O.S.)	Peshet! Startled, Peshet spins to see the Queen approach.
CASSIOPEIA	Where is the Princess? He ignores her, starts again. Andromeda does something below the frame that jolts him off. The girl can take care of herself.
PESHET	Is she not in her chambers, ma'am?
CASSIOPEIA	She is not. You are expected to know her -- A SQUEAL and WHISPERING from the closet stops Cassiopeia. Tell the Princess -- should you find her -- her father and I want to see her at once. She stalks away. Urgently, through the door --
PESHET	Princess, it's the King as well!
ANDROMEDA	To please you, I would submit to such a marriage... except I would rather die; Please let me know you're serious about this perverse plan so I can make arrangements to kill myself. She stomps out. Their gaze follows until she's gone.
KEPHEUS	It will take more than half-a-God to handle her.
CASSIOPEIA	She'll be a great ruler one day. blush were she not so pale.
WILTING GIRL	You're looking in the wrong direction.
PERSEUS	I don't think so.
WILTING GIRL	Perhaps you should give some thought to your immediate future.
PERSEUS	That's what I'm doing.
WILTING GIRL	Maybe you should take another look... She indicates the view behind him. Perseus turns, jaw
HIS POV	A breathtaking view of Joppa -- a city in two parts. Above, twisting stone stairs climb the cliffs to the The Wilting Girl leads Perseus through the city. He's never seen anything like it. He rubbernecks, awestruck scales over a mold.
WILTING GIRL	All the goods, armies, and culture of Man's dominion flow through this port. He who reigns in Joppa, rules the world. Amidst the exotic chaos, Perseus is struck by the homeless refugees on the street and the ruins of once-
PERSEUS	The war has badly scarred this place.
WILTING GIRL	It is the war you have the power to end. He throws her an angry look, grim.
PERSEUS	Don't joke about such things. I'd be useless before such a huge responsibility.
WILTING GIRL	Perhaps you would be... ... as you are now. They pass an evangelist (FANTASOS) haranguing a crowd. -- one true God is not Zeus but she called the Deep -- Tiamat! 'Before the first dawn, the eyes of the Deep watched the earth.' Bow down to the Goddess of Chaos or know despair, for Tiamat will rule the heavens and the earth. Perseus is mystified by this talk. He turns to Vidalia Perseus and Vidalia round a corner and see the regal preparing for a big event.
PERSEUS	What are they celebrating?
WILTING GIRL	You. Kepheus speaking sternly to Perseus, before him.
KEPHEUS	. before I am a king or a peacemaker, I am a father. Do you know what that means?
PERSEUS	I'm not sure, Your Highness. I did not know my father. Yes, well... it means I had no desire for my little girl's carefree springtime to be cut What is she? I'm sure she's preparing herself to make the best possible impression. Perseus suppresses a smile, amused by the royal couple. -- and all so she could be thrust into a momentous conflict... of which she knows nothing at all.
PERSEUS	She's not the only one, sir. I don't know much about the events for which I've been drafted.
KEPHEUS	I take no comfort in that, young man. In fact, I find little to take comfort in here. You are a stranger from a distant place, and I am asked to entrust the welfare of my daughter to you. If you are not kind and patient with her, if any harm of any kind should come her way, I will have your head on a stake. Kepheus thinks he sees a smirk on Perseus' face. He puts
KEPHEUS	Is this amusing to you?
PERSEUS	Not even a little, my lord. It's just that I myself was waylaid -- snatched also, as you say, from my happy springtime... Kepheus studies him to see if he's making jest of him.
PERSEUS	I've been told I'm to play a part in events which serve a higher purpose... of which I'm not at all convinced.
KEPHEUS	Does a truce in the war between Men and Gods not strike you as a higher purpose?
PERSEUS	With all respect, I have never seen a God. On my island, they're no more than a story. You will learn there is more to this universe than is found on your island. This is supposed to be the son of a God, yet he doubts their existence! They exist, young man. But if you doubt their power, I join you -- Cassiopeia! We have agreed such talk has no place in this palace. Have we?
PERSEUS	I can only proceed based on what I have experienced, not on a faith I do not possess.
KEPHEUS	Where does a young person get such ideas?
PERSEUS	Perhaps from my adopted father, sir. I admire him greatly, and he believes in little he cannot hold in his hand.
KEPHEUS	Is he a scholar?
PERSEUS	No, Your Highness, a fisherman. I know this mentor who so influences young Perseus. Amoun has silently entered the chamber. Perseus reacts in amazement.
