CHARACTER	DIALOGUE
COMMANDER ANDERSON	They're useless. Alcatraz was originally a Civil War fort. It's been ripped up and rebuilt for years. Under there is a maze What I need is personal, firsthand intelligence on the island's tunnels.
GENERAL KRAMER	The former warden?
AGENT WOOD	Died in 1979. The guards we contacted are useless. There was a janitor, "Alcatraz Al". He worked there for twenty years, but he
GENERAL PETERSON	Didn't three guys escape? I thought I saw a movie about it.
AGENT WOOD	It's a Hollywood myth. No one's escaped Alcatraz and lived.
C.I.A. DIRECTORY AMWAY	There is someone who can help us.
F.B.I. DIRECTOR WOMACK	The C.I.A. Director and I have something to discuss in private.
F.B.I. DIRECTOR WOMACK	You're not actually suggesting ...
C.I.A. DIRECTORY AMWAY	The man spent every night for six months making a dry-run of his escape. He knows every inch of that island. We have to,
F.B.I. DIRECTOR WOMACK	I am very uncomfortable about this.
F.B.I. DIRECTOR WOMACK	I knew, I knew someday, this would come back to bite us.
C.I.A. DIRECTORY AMWAY	it won't bite anyone - if handled correctly. When was the last time you saw him?
F.B.I. DIRECTOR WOMACK	when he escaped from San Quentin.
C.I.A. DIRECTORY AMWAY	The man was an S.A.S. trained killer.
C.I.A. DIRECTORY AMWAY	Can we risk letting.him out?
C.I.A. DIRECTORY AMWAY	The question is: can we not? now, we have no idea why.
F.B.I. DIRECTOR WOMACK	I'm told you're our best chemical weapons man, Goodspeed. What's your education?
GOODSPEED	B.A. Columbia. M.A. and P.H.D., Johns Hopkins, biochemistry and toxicology. Excellent. What do you know about V.X. gas?
GOODSPEED	This isn't a training exercise, is it sir.
F.B.I. DIRECTOR WOMACK	No Goodspeed. It's not a training exercise.
F.B.I. DIRECTOR WOMACK	The following is a state secret. Disclose it to any party and you will be subject to prosecution. His name is John Mason. A British national incarcerated on Alcatraz island in 1962,
AGENT SANCHEZ	Director, no one's ever escaped from Alcatraz ...
F.B.I. DIRECTOR WOMACK	I'm telling you facts, Agent Sanchez. Do not argue and do not question. He was recaptured and sent to San Quentin, I want one thing: how he escaped Alcatraz - specifically the route he took through the island's tunnels.
AGENT SANCHEZ	You want him conscious or unconscious afterward?
F.B.I. DIRECTOR WOMACK	Don't even entertain it. This man laughs at strong arm tactics. dodium pentathol doesn't work either.
GOODSPEED	Why's he going to help us now? Mason's papers are in order, sir.
F.B.I. DIRECTOR WOMACK	Because I'm willing to give him what he wants, GOODSPEED - a full pardon.
AGENT SANCHEZ	Steep price for some information. (waves pardon away) I don't need that to get what you want.
F.B.I. DIRECTOR WOMACK	Sanchez - try subtlety.
AGENT SANCHEZ	It's my middle name. Watch kid, maybe you'll learn something.
F.B.I. DIRECTOR WOMACK	I ask for an interrogator and what do I get ...
GOODSPEED	Jesus look at this guy.
SANCHEZ	I'm F.B.I. Special Agent in Charge Sanchez.
MASON	In charge of what? Fucking me over for another three decades?
SANCHEZ	Hey. Easy. I just want to talk.
MASON	You know what F.B.I. stands for Sanchez? Fucking Bloody Idiots. I don't want to talk to you.
SANCHEZ	Just some questions about Alcatraz. It's a tourist attraction now. You remember Alcatraz, Mason.
MASON	Do I remember Alcatraz.
SANCHEZ	Not the island itself. The tunnels underneath it. Real subtle, SANCHEZ... There's no harm in cooperating with us.
MASON	Who's "us?" F.B.I.? C.I.A.? Why should I do that?
SANCHEZ	Maybe there's a gift in it for you.
MASON	Timeo danaos et dona ferentes.
GOODSPEED	"I fear the Greeks even when they bring gifts."
MASON	Are you capable of reading, Sanchez?
SANCHEZ	I don't have time for this shit... Yes. I can read.
MASON	The story of Alchimadus. Know it?
SANCHEZ	No.
GOODSPEED	Ancient Greece. Alchimadus was imprisoned by his king.
MASON	Thomas a Beckett. Heard of him?
SANCHEZ	Maybe. Not really.
GOODSPEED	Archbishop of Canterbury. Imprisoned and executed by Henry the Second ...
MASON	Solzhenitsyn. I've a sneaking suspicion you've heard of him. Russian poet and dissident exiled to Siberia.
SANCHEZ	Look, I'm asking the fucking questions here. You can trust the F.B.I.
MASON	That's a good one, Sanchez. What do you call and F.B.I. Agent who can't tell a lie? A mute. longer exists. Suddenly, over a INTERCOM:
U.S. ATTORNEY REYNOLDS	Uhm, Agent Sanchez, could we have a word with you?
SANCHEZ	Here, call your lawyer and tell him you're going back to jail. Impressive, Sanchez.
GOODSPEED	You mind if... uhm.... I take a shot?
SANCHEZ	He'll eat him alive.
F.B.I. DIRECTOR WOMACK	He's already had you for the first course. Go.
GOODSPEED	Take his cuffs off.
MASON	Who the fuck are you, Mother Theresa?
GOODSPEED	No actually, I'm Bill Goodspeed. Mr. Mason, we really need your help. That's a pardon and release contract from the Attorney Generals office. It makes you a free man,
MASON	What do you do for the F.B.I., Goodspeed.
GOODSPEED	I'm a field agent.
MASON	Tell me what you really do. Don't answer that, GOODSPEED ....
GOODSPEED	I'm a chemical biological weapons expert. at the pardon contract, thinking.
MASON	You said I'd be a free man. Define free
GOODSPEED	Uhm, well, emancipated. Unfettered.
MASON	I know what the fucking word means, idiot. In this context.
GOODSPEED	I don't understand....
MASON	During the time I cooperate, will I be outside? Outside a jail?
GOODSPEED	Well yes I suppose ...
MASON	You suppose?
GOODSPEED	Yes. You'll be outside.
F.B.I. DIRECTOR WOMACK	Don't give away the farm, Goodspeed.
MASON	What's happening on Alcatraz, Goodspeed?
GOODSPEED	A hostage situation. A matter of life and death.
MASON	Then on one condition: a minimum of two hours in the Fairmont Hotel - I trust it still exists. I want a shower and a new
GOODSPEED	I think we can arrange that. GOODSPEED enter.
SANCHEZ	Why didn't you throw in a trip to Fiji?
U.S. ATTORNEY REYNOLDS	I'll have this forwarded to the President, Director. No. You'll give it to me. Give it to me, Reynolds.
