CHARACTER	DIALOGUE
COURT LADY	And how do you do that?
RALEIGH	Surprise. Speed. Irresistible violence.
ELIZABETH	I think you're not as accustomed as I am to eating in public. I I pretend there's a pane of glass - eine Glasscheibe - between me and them. he moves one hand before her face, indicating an imaginary
ELIZABETH	They can see me, but they can't hear me, or touch me. You should try it.
ELIZABETH	Bess.
ELIZABETH	He interests me. Talk to him.
BESS	Him, my lady?
ELIZABETH	Him.
ELIZABETH	His highness is tired after his journey.
ARCHDUKE CHARLES	No man can be tired in the presence of so lovely a Queen.
	lizabeth speaks so only he can hear, in German.
ELIZABETH	young friend. But don't you
sometimes feel an overwhelming	desire to say what you're really Archduke's eyes open very wide. He glances at
ARCHDUKE CHARLES	
ELIZABETH	
ARCHDUKE CHARLES	
COURT LADY	I adore the natives you brought back with you. I don't suppose you could get one for me? They're not dangerous, are they? RALEIGH That depends what you propose to do with them.
COURT LADY	I'd dress him up in mulberry- coloured silk and have him walk behind me, carrying my cloak.
BESS	The pirate is not too bored by the vanities of the court, I hope.
RALEIGH	A simple sailor, dazzled by the bright lights.
BESS	If you can bring yourself to leave the dazzle of the bright lights for a moment -
RALEIGH	rawn away by the brightest light of all.
BESS	That can only mean the Queen.
RALEIGH	I don't presume to raise my eyes so high.
BESS	It seems you've presumed after all.
RALEIGH	It seems you're determined to think the worst of me.
BESS	Tell me what it is you really want.
RALEIGH	What every man wants. Money. Fame. Love.
BESS	In that order?
RALEIGH	Each leads to the next. The money will buy and equip ships for a return voyage to the New World. The success of my infant colony there will make me famous. The fame will bring me love.
BESS	It seems rather a long way round.
RALEIGH	There are benefits along the way. It is something, after all, to take a blank on the map and build there a shining city.
BESS	Which you will no doubt name after yourself.
RALEIGH	No doubt. B
ESS	Well, then. I am answered.
RALEIGH	May I ask a question in return?
BESS	Of course.
RALEIGH	How am I to win the Queen's favour?
BESS	Why should I tell you that, sir?
RALEIGH	I've little enough to offer, I know. But whatever I have to give - ask, and it's yours.
BESS	My advice to you is, say what you mean to say as plainly as possible. All men flatter the Queen in the hope of advancement. Pay her the compliment of truth.
RALEIGH	I don't even know your name.
BESS	Elizabeth Throckmorton.
RALEIGH	A second Elizabeth.
BESS	Everyone calls me Bess. he goes back to the Queen, as Elizabeth is rising to
ELIZABETH	His highness the Archduke informs me that my charms overwhelm him. He will retire to his private quarters to rest.
ELIZABETH	He's a sweet boy. I don't want him hurt by your schemes. Bess is reading to Elizabeth. Elizabeth watching her, her
ELIZABETH	I suspect him of being a professional charmer. Am I right?
BESS	He is certainly charming, my lady.
ELIZABETH	There are duller professions. And what is it he hopes to gain by his charms?
BESS	He hopes for glory in his New World. He dreams of building a shining city. You like him, don't you? BESS It's refreshing to meet a man who looks to a world beyond the court. ELIZABETH So it is. We shall let him come again. Mary Stuart holds her pet dog in her arms, listening to
MARY	Dismissed? On whose orders?
MARY	Do stop snivelling.
ANNETTE	The Warden, my lady.
MARY	The Warden? My Warden?
MARY	What have you done now, you bad man? Sent away my laundress? How am I to have clean clothes? Or do
PAULET	That was not my motive, ma'am.
Much though -	Your laundress was found to be Not her job, I think. How am I to send my intimate letters? PAULET Through me. MARY And you will read them.
PAULET	With respectful admiration.
MARY	Am I to have no privacy? PAULET No. the charm, steel. MARY You disappoint me, sir. May 1 Blue Draft - p. 36
PAULET	The Queen orders these measures for your protection. MARY The Queen! Am I not a Queen too? What if I wish to write a love letter? Is Elizabeth to be sent a copy? Is she so starved of lovers that she must feed on mine? PAULET The Queen grieved when your husband died, ma'am. As she grieved when your second husband a possibility of a fourth -
MARY	Tormentor! Is that Elizabeth's order too? That you torment and mock me? turns to go, but stops before leaving the room: bitter,
MARY	They say she's a beautiful woman. Queen's person.
MARY	She's called the virgin queen. Why is that, sir? Can it be that
MARY	My friend, forgive me. You are my friend, are you not?
PAULET	I am your servant, ma'am, and your admirer.
MARY	I shall send no more letters. I shall stay here quietly, in my prison. With you. May 1 Blue Draft - p. 37 The same crowd of petitioners wait in vain for access to Over this we hear Raleigh's voice telling of his adventures: must cross an ocean. Elizabeth listens attentively, her eyes looking far away what it is to cross an ocean? For weeks you see nothing but the and empty. Your ship is small - tiny - a speck in such immensity. Walsingham is talking to Elizabeth about matters of state.
RALEIGH (V.O.)	You live with fear, in the grip of fear - fear of storms, fear of sickness on board, fear of the immensity. What if you never escape? How can you escape? There's nowhere to go. So you must drive your fear down, deep into your belly, and study your charts, and watch your compass, and pray for a fair wind - and hope. Now Elizabeth is with Raleigh again, listening as he goes May 1 Blue Draft - p. 38
RALEIGH	Pure naked fragile hope, when all your senses scream at you, Lost! Lost! Imagine it. Day after day, staring west, the rising sun on your back, the setting sun in your eyes, hoping, hoping - Sir Christopher Hatton enters.
HATTON	Majesty, the Archduke and the court are waiting. ELIZABETH Let them wait! Go on, Mr Raleigh. You were hoping.
