film_title,bechdel_test,male_rating,male_num_reviews,female_rating,female_num_reviews,majority_reviewer_gender,gender_who_preferred,large_diff
How I Live Now,pass,6.3,5261,6.9,2506,male,female,TRUE
The Hunger Games: Catching Fire,pass,7.6,161620,8.4,67640,male,female,TRUE
I Give it a Year,pass,5.8,12146,5.7,6463,male,male,FALSE
I Used to Be Darker,pass,5.5,287,5.4,86,male,male,FALSE
I'm So Excited,fail,5.6,7278,5.9,2529,male,female,TRUE
Ida,pass,7.5,533,7.7,160,male,female,FALSE
Identity Thief,fail,5.6,41926,6.1,16615,male,female,TRUE
In a World...,pass,6.7,7922,6.9,1978,male,female,FALSE
The Incredible Burt Wonderstone,fail,5.9,34051,5.9,6456,male,equal,FALSE
Inside Llewyn Davis,fail,7.7,28404,7.4,6752,male,male,FALSE
Insidious: Chapter 2,fail,6.6,34287,6.9,9525,male,female,TRUE
Instructions Not Included,pass,7.5,7114,8.2,2816,male,female,TRUE
The Internship,fail,6.3,65949,6.5,17175,male,female,FALSE
Iron Man 3,pass,7.3,255534,7.8,52584,male,female,TRUE
Jack the Giant Slayer,fail,6.3,54090,6.6,14176,male,female,FALSE
Jeune & jolie,pass,6.9,4862,7,1582,male,female,FALSE
Jurassic Attack,fail,2.3,526,2.3,68,male,equal,FALSE
Karlek deluxe,pass,3.7,21,4.6,15,male,female,TRUE
Kick-Ass 2,pass,6.8,89417,6.8,14005,male,equal,FALSE
Kill Your Darlings,fail,6.4,4739,7,2106,male,female,TRUE
Killing Season,fail,5.4,14865,5.3,1509,male,male,FALSE
Knights of Badassdom,pass,5.7,4676,7.8,2495,male,female,TRUE
Kyss meg for faen i helvete,pass,6.4,134,7.2,63,male,female,TRUE
L'amour est un crime parfait,fail,6.3,196,6.2,49,male,male,FALSE
L'ecume des jours,pass,6.5,3048,6.8,1463,male,female,FALSE
The Last Exorcism Part II,pass,3.9,6688,4.1,1900,male,female,FALSE
The Last Keepers,pass,4.7,211,5.7,236,female,female,TRUE
Last Passenger,pass,5.6,1149,5.7,180,male,female,FALSE
Last Vegas,fail,6.6,41476,7,10055,male,female,TRUE
Le Passe,pass,8,13220,7.9,2932,male,male,FALSE
Lee Daniels' The Butler,pass,7,30832,7.5,12045,male,female,TRUE
Les garcons et Guillaume a table!,fail,6.7,1256,7.1,380,male,female,TRUE
