film_title,male_rating,female_rating
The Band's Visit,7.6,7.7
Barbie as the Island Princess,5.2,6.4
Beaufort,6.7,7.2
Because I Said So,5,6
Becoming Jane,6.7,7.4
Before the Devil Knows You're Dead,7.3,7.1
Beowulf,6.4,5.9
Bhool Bhulaiyaa,6.8,6.6
Black Water,6,6
Blades of Glory,6.4,6.4
Bratz,1.8,3.7
Bratz: Fashion Pixiez,4,5.3
The Brave One,6.8,7.1
Breach,7,7.1
Breakfast with Scot,6.7,6.9
Bridge to Terabithia,7.2,7.3
Bring It On: In It to Win It,4.6,5.7
Brooklyn Rules,6.4,6.4
The Bucket List,7.4,7.5
Caramel,7,7.4
Chakde! India,8.4,7.9
Charlie Bartlett,7,7.3
Charlie Wilson's War,7.2,6.9
Cocalero,6.9,7.6
The Condemned,6.1,6.3
Crashing,5.7,5.9
Cutlass,7.6,7.9
Dan in Real Life,6.8,6.8
The Darjeeling Limited,7.2,7.4
Dark Mirror,4.7,5
Days and Clouds,7,7
Death at a Funeral,7.3,7.6
Death Defying Acts,5.8,6
Death Proof,7.1,7.5
Diary of the Dead,5.8,5.6
Disturbia,6.9,7
The Diving Bell and the Butterfly,8.1,8.1
Eagle vs Shark,6.8,7.1
Eastern Promises,7.7,7.7
Ekusute (Exte: Hair Extensions),6.5,6.9
Elizabeth: The Golden Age,6.7,7.1
Enchanted,7.1,7.4
Ensemble c'est tout,6.6,7.2
Evangelion: 1.0: You Are (Not) Alone,7.8,7.7
Evening,6.4,6.8
Fantastic Four: Rise of the Silver Surfer,5.6,5.8
Far North,6.2,6.3
Fat Like Me,5.6,6.1
Fermat's Room,6.7,6.9
Flight of the Living Dead,5.3,5.1
Fracture,7.2,7.4
Fred Claus,5.5,5.8
Free Rainer,6.7,6.8
Futurama: Bender's Big Score,7.7,7.7
The Golden Compass,6.1,6.3
Gone,5.4,5.5
Gone Baby Gone,7.8,7.7
Hairspray,6.7,7.1
Halloween,6.1,6.1
Hannibal Rising,6.1,6.5
Harry Potter and the Order of the Phoenix,7.3,7.9
Hitman,6.3,6.5
Hostel: Part II,5.4,5.6
Hot Fuzz,7.9,8
Hot Rod,6.7,6.7
How About You,6.8,7.4
I Am Legend,7.2,7.2
I Could Never Be Your Woman,6,6.2
I Know Who Killed Me,3.5,3.8
If I Had Known I Was a Genius,5.1,4.7
Import/Export,7.1,7.2
Imprint,5.6,6.7
In the Arms of My Enemy,6.8,6.4
Inside,6.9,6.8
Into the Wild,8.2,8.2
Irina Palm,7.2,7.5
Itty Bitty Titty Committee,4.9,6.1
The Jane Austen Book Club,6.7,7
Juno,7.6,7.8
King of California,6.7,6.7
The King of Kong: A Fistful of Quarters,8.2,8.2
The Kite Runner,7.6,7.8
Knocked Up,7.2,6.8
La reine soleil,6,5.8
La torre de Suso,6.5,6.6
La vie en rose,7.6,8
Lars and the real Girl,7.3,7.6
The Life Before Her Eyes,6.3,6.9
Live Free or Die Hard,7.3,7.3
The Lookout,7.1,7.2
Love Songs,7.1,7.4
Lynch,6.7,6.9
The Man from Earth,8,7.7
The Man from London,7.1,6.8
Margot at the Wedding,6.1,5.7
Meet the Robinsons,6.7,7.4
The Messengers,5.3,5.6
Michael Clayton,7.3,7.2
The Mist,7.3,6.9
Mr. Magorium's Wonder Emporium,6.1,6.5
Music and Lyrics,6.5,6.6
My Blueberry Nights,6.7,6.8
Naissance des pieuvres,6.7,6.7
The Nanny Diaries,6,6.3
Negative Happy Chain Saw Edge,5.8,6.1
Next,6.2,6.2
Ninas Mal,5.3,5.9
No Country for Old Men,8.2,7.8
No Reservations,6.2,6.4
Northanger Abbey,7,7.6
Numb,6.8,6.6
The Number 23,6.3,6.4
Ocean's Thirteen,6.9,6.9
The Orphanage,7.5,7.7
Out at the Wedding,5.8,6.5
Outlaw,5.8,5.7
P.S. I Love You,6.8,7.4
P2,5.9,5.9
Paranormal Activity,6.4,6.2
Persepolis,8,8.3
Pirates of the Caribbean: At World's End,7,7.5
Planet Terror,7.3,7.2
Premonition,5.7,6.2
Ratatouille,8,8.1
Resident Evil: Extinction,6.2,6.7
Rush Hour 3,6.1,6.3
Salvation,3,3.6
The Savages,7.2,7.1
Mind the Gap,4.9,5.2
The Secret,6.4,6.7
She's a Boy I Knew,7.9,8.1
Shelter,7.9,8
Shooter,7.2,7.2
Shrek the Third,6,6.3
Shrooms,4.7,5
The Signal,6.1,6.1
The Simpsons Movie,7.5,7.3
Smiley Face,5.7,6
Son of Rambow,7,7.5
St. Trinian's,5.4,6.4
Stardust,7.7,7.9
Steam,5.3,6.4
Sunshine,7.3,7.3
Superbad,7.7,7.3
Sweeney Todd: The Demon Barber of Fleet Street,7.4,7.8
Sword of the Stranger,7.8,7.9
Sydney White,6.1,6.6
Teeth,5.5,5.7
Ten Inch Hero,7.2,7.9
Then She Found Me,5.9,6.3
There Will Be Blood,8.2,7.8
Timecrimes,7.3,7
TMNT,6.4,6.3
Towelhead,7,7.2
The Tracey Fragments,6.2,6.6
Transformers,7.2,7.3
Transmorphers,1.6,2.9
Trick 'r Treat,6.8,6.7
Tricks,7,7.4
Tropa de Elite,8.1,7.9
Vacancy,6.2,6.2
Vexille,6.9,6.9
The Visitor,7.7,7.8
Waitress,7,7.3
Watching the Detectives,6.4,6.8
We Are the Strange,5.6,5
We Own the Night,6.9,6.9
Welcome to the Quiet Room,7.2,7.8
Whisper,5.8,5.8
White Noise 2: The Light,5.8,5.8
Wild Hogs,5.9,6
Wool 100%,6.2,7.1
The World Unseen,6.2,7.2
XXY,7.1,7.4
Year of the dog,6.1,6.2
Yobi the Five-Tailed Fox (Cheon-nyeon-yeo-woo-yeo-woo-bi),7,7.5
Young People Fucking,6.4,6.2
[Rec],7.6,7.3
300,7.8,7.7
A Crime,5.8,6.1
A Few Days in September,5.4,5.8
A fost sau n-a fost?,7.3,7.9
A Guide to Recognizing Your Saints,7.1,7.2
A Prairie Home Companion,6.9,6.6
A Scanner Darkly,7.1,7.1
After the Wedding,7.8,7.9
Akeelah and the Bee,7.4,7.7
Altered,5.7,5.4
Amazing Grace,7.4,7.8
The Ant Bully,5.9,5.9
Apart From That,5.9,6.7
Apocalypto,7.8,7.8
Aquamarine,4.6,5.5
The Architect,5.5,5.7
Art School Confidential,6.3,6.2
Arthur and the Invisibles,6,6.1
Avenue Montaigne,6.8,7
Bambi II,5.9,6.5
Bandidas,5.6,5.9
The Big Bad Swim,6.5,7.1
Black Christmas,4.4,4.6
Black Dahlia,5.6,5.5
Black Sheep,5.8,5.8
Blood Diamond,8,8.1
Bon Cop Bad Cop,6.9,7.5
Bonneville,6.1,6.4
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.4,6.8
Bordertown,5.9,6.6
Brand Upon The Brain!,7.5,7.4
Brave Story,6.7,6.9
The Break Up,5.8,5.7
The Break-Up,5.8,5.7
Bring It On: All or Nothing,5.2,6.1
Brother Bear 2,6.1,6.6
Bug,6.1,5.8
Caffeine,5.7,5.8
Candy,7.2,7.5
Cars,7.3,7.3
Cashback,7.3,7.2
Casino Royale,8,7.8
Children of Men,8,7.7
Clerks II,7.5,7.3
Click,6.5,6.3
Crank,7,6.8
Curse of the Golden Flower,7,7.2
The Da Vinci Code,6.5,6.5
Das Leben Der Anderen,8.5,8.6
Dead & Deader,4.9,5.1
The Dead Girl,6.7,7.1
The Departed,8.5,8.4
The Devil Wears Prada,6.6,7.1
DOA: Dead or Alive,4.7,5
Dor,7.9,7.9
Dreamland,6.3,6.8
El laberinto del fauno (Pan's Labyrinth),8.3,8.4
Elephants Dream,5.9,5.4
Eragon,5,5.6
The Fall,7.8,8.4
Farval Falkenberg,6.6,6.6
Fast Food Nation,6.3,6.3
Fay Grim,6.4,6.5
Fido,6.8,7.1
Final Destination 3,5.7,6
Five Across the Eyes,2.8,2.9
Flushed Away,6.7,6.7
For the Love of a Child,7.1,8
For Your Consideration,6.3,6.5
The Fountain,7.4,7.3
Friends with Money,5.9,5.9
The Gigolos,5.6,6.4
The Good Shepherd,6.8,6.7
Gray Matters,5.7,6.1
The Grudge 2,4.9,4.9
The Guardian,6.8,7.2
The Gymnast,6.5,6.7
Half Light,5.9,6.3
Half Nelson,7.3,7.4
Hello Sister Goodbye Life,6.3,6.7
High School Musical,4.6,5.8
The History Boys,6.6,7.4
Hogfather,7.5,7.9
The Holiday,6.7,7.3
The Host,7,7.1
Hula Girls,7.2,7.5
I Do,6.8,6.9
I Served the King of England,7.4,7.4
I'm a Cyborg But That's OK,7.1,7.5
I'm Reed Fish,5.9,5.7
Ice Age: The Meltdown,6.8,7.2
Idiocracy,6.5,6.5
Idlewild,6.1,6.5
Il caimano (The Caiman),6.7,6.9
The Illusionist,7.6,7.7
In Paris,6.5,6.7
Inland Empire,7,6.9
Inside Man,7.7,7.6
Jackass Number Two,7.2,6.9
John Tucker Must Die,5.4,6.3
Kidulthood,6.8,6.7
Lady in the Water,5.7,6
The Lake House,6.7,7
Last Holiday,6.1,6.6
Letters from Iwo Jima,8,7.7
Little Children,7.7,7.6
Little Miss Sunshine,7.9,8.1
Liu hao chukou (Exit No. 6),4.8,4.8
London To Brighton,7,7.1
Love & Suicide,4.4,5
Loving Annabelle,6.4,7.3
Lucky Number Slevin,7.8,7.8
Man of the Year,6.1,6.3
Marie Antoinette,6.3,6.7
Material Girls,3.2,4.2
Miss Potter,6.9,7.2
Monster House,6.7,6.7
Mukhsin,7.4,7.1
Mulberry Street,5.7,5.6
Nacho Libre,5.7,5.4
Night at the Museum,6.3,6.6
Nina's Heavenly Delights,5.9,6.8
Notes on a Scandal,7.4,7.6
Offside,7.2,7.4
On the Trail of Igor Rizzi,6.1,7.9
Once,8,7.9
Open Season,6.1,6.3
The Page Turner,7.1,7.1
The Painted Veil,7.4,7.9
Paprika,7.7,7.8
Paris je t'aime,7.3,7.6
Penelope,6.5,7.2
Perfume: The Story of a Murderer,7.5,7.6
Pirates of the Caribbean: Dead Man's Chest,7.3,7.6
Poseidon,5.6,5.8
Poultrygeist: Night of the Chicken Dead,6.3,5.7
The Prestige,8.5,8.4
Psych,8.4,8.7
Puccini for Beginners,5.9,6.2
The Pursuit of Happyness,7.9,8
The Queen,7.4,7.5
Quinceanera,7,7.3
Rainbow Song,7.5,7.5
Rang De Basanti,8.6,8
Red Road,6.8,7.1
Reprise,7.4,7.7
Requiem,7,7.1
Return To Halloweentown,5.3,6.1
Running with Scissors,6,6.6
The Science of Sleep,7.3,7.5
She's the Man,6,7
Sherrybaby,6.6,6.8
Shortbus,6.5,7
Silent Hill,6.6,6.6
Slither,6.5,6.2
Smokin' Aces,6.7,6.7
Snakes on a Plane,5.7,5.6
Snow cake,7.5,7.9
Southland Tales,5.6,5.4
Starter for 10,6.7,6.8
Stick It,6,6.8
Still Life (Sanxia haoren),7.3,7.3
Stranger Than Fiction,7.7,7.7
Suburban Mayhem,5.8,6.3
Superman Returns,6.2,6.3
Take the Lead,6.4,7
Tekkon kinkurito,7.7,8
This Film Is Not Yet Rated,7.5,7.8
Times and Winds,7.4,7.6
To Have and to Hold,4.9,6
The Girl Who Leapt Through Time,7.9,8.1
Ultraviolet,4.3,4.7
The University of Illinois vs. a Mummy,7,10
Volver,7.6,7.8
Warau Mikaeru,5.4,5.1
We Are Marshall,7.1,7.3
Wendy Wu: Homecoming Warrior,5.1,5.6
When a Stranger Calls,4.9,5.2
The Wind That Shakes the Barley,7.5,7.7
The Woods,5.7,5.8
Wristcutters: A Love Story,7.3,7.6
X-Men: The Last Stand,6.8,7.1
You Me and Dupree,5.6,5.5
The Zombie Diaries,4.1,3.9
Zoom,3.9,4.9
Zwartboek,7.8,8
20 centimetros,6.9,7.2
The 40 Year Old Virgin,7.3,6.8
A Bittersweet Life (Dalkomhan insaeng),7.8,7.7
Adam & Steve,6,6.1
Adam's Apples,7.8,8.1
The Adventures of Sharkboy and Lavagirl 3-D,3.2,4.1
AEon Flux,5.4,5.7
The Amityville Horror,5.9,6.2
Angel-A,7.1,7.3
Assault on Precinct 13,6.3,6.3
The Aura,7.4,7.2
The Ballad of Jack and Rose,6.7,7
Barbie and the Magic of Pegasus,5.3,6.5
Barbie: Fairytopia,4.5,5.9
Batman Begins,8.4,8.1
Beauty Shop,5.1,5.9
Bewitched,4.7,5
BloodRayne,2.8,3
Boogeyman,4,4.2
Boy Eats Girl,5,5.4
Boynton Beach Club,6.3,6.9
Bratz: Rock Angelz,3.1,5.9
Brick,7.5,7.4
Brokeback Mountain,7.6,8
Broken Flowers,7.3,7
The Call of Cthulhu,7.4,7.3
Capote,7.4,7.6
Casanova,6.4,6.7
Charlie and the Chocolate Factory,6.6,7.2
Chinjeolhan geumjassi,7.7,7.9
The Chronicles of Narnia: The Lion the Witch and the Wardrobe,6.8,7.4
Cinderella Man,8,7.9
Coach Carter,7.2,7.3
The Constant Gardener,7.5,7.7
Constantine,6.9,7.1
Conversations with Other Women,6.9,7.4
Corpse Bride,7.3,7.7
Cursed,4.8,5.2
Danny the dog,7,7.1
Dark Water,5.5,5.5
Dear Wendy,6.6,6.9
The Descent,7.3,7.2
The Devil's Rejects,6.9,6.8
Die You Zombie Bastards!,4.4,4.4
Domino,5.9,6.3
Doom,5.2,5.5
Enron: The Smartest Guys in the Room,7.7,7.6
The Exorcism of Emily Rose,6.8,6.7
Factotum,6.7,6.5
Fantastic Four,5.7,5.9
Final Fantasy VII: Advent Children,7.4,7.7
Fingersmith,7.5,8.3
Flightplan,6.2,6.4
The Fog,3.5,3.8
Fun with Dick and Jane,6.1,6.1
Gespenster,7,6.6
Good Night and Good Luck.,7.6,7.6
Happy Endings,6.5,6.7
Hard Candy,7.2,7.3
Harry Potter and the Goblet of Fire,7.5,8.1
Hate Crime,6.4,6.6
Herbie Fully Loaded,4.6,4.9
Hide and Seek,5.8,6.2
Hitch,6.7,6.6
The Hitchhiker's Guide to the Galaxy,6.7,7
Hoodwinked!,6.6,6.5
Hostel,5.9,5.6
House of the Dead 2,3.8,4.2
Hustle & Flow,7.4,7.3
Ice Princess,5.9,6.1
Imagine Me & You,6.5,7.2
In Her Shoes,6.5,6.6
Into Great Silence,7.3,7.4
The Island,6.9,6.9
Isolation,5.7,5.6
The Jacket,7.1,7.2
Jarhead,7.1,7.2
Joyeux Noel,7.8,8.1
Junebug,7,7.1
Just Like Heaven,6.7,6.9
Keeping Mum,6.8,7.2
Kids in America,5.8,6.5
King Kong,7.3,7.1
Kingdom of Heaven,7.2,7
Kinky Boots,6.9,7.3
Kiss Kiss Bang Bang,7.7,7.7
L'empire des loups,5.9,6.1
Last Order: Final Fantasy VII,7.4,7.2
Le couperet,7.5,7.5
The Legend of Zorro,5.8,6.2
Legion of the Dead,2.4,2.6
Lord of War,7.7,7.5
Lords of Dogtown,7,7.3
Madagascar,6.8,7.1
Man of the House,5.3,5.7
Match Point,7.8,7.6
Me and You and Everyone We Know,7.4,7.3
Memoirs of a Geisha,7.1,7.7
MirrorMask,6.9,7.4
Miss Congeniality 2: Armed & Fabulous,4.7,5.3
Mortuary,3.9,4
The Mostly Unfabulous Social Life of Ethan Green,6.3,6
Mr. & Mrs. Smith,6.4,6.5
Mrs Palfrey at The Claremont,7.4,8
Munich,7.7,7.5
The Muppets' Wizard of Oz,5.1,5.6
Must Love Dogs,5.8,6
Nana,7.2,7.4
The New World,6.7,6.8
Nine Lives,6.9,6.9
North Country,7.2,7.5
Oliver Twist,6.9,7
Paradise Now,7.5,7.6
The Pleasure Drivers,4.5,5.2
Pride and Prejudice,7.5,8.2
Proof,6.8,6.9
Red Eye,6.4,6.7
Rent,6.7,7.6
The Ring Two,5.3,5.5
Rings,7.4,6.7
Robots,6.3,6.5
Rumor Has It...,5.5,5.6
Saw II,6.6,6.6
Separate Lies,6.5,6.6
Serenity,7.9,8.3
Shopgirl,6.4,6.4
Sin City,8.2,7.8
Single White Female 2: The Psycho,4,4.2
The Sisterhood of the Traveling Pants,6.2,6.9
Sisters in Law,7,7.7
The Skeleton Key,6.4,6.7
Sky High,6.2,6.5
Son of the Mask,2.1,2.4
Sophie Scholl - Die letzten Tage,7.7,7.8
The Squid and the Whale,7.5,7.2
Star Wars: Episode III - Revenge of the Sith,7.7,7.6
Star Wars: Revelations,5.3,5.7
Stealth,5,5.2
Strangers with Candy,6,6
The Sun,7.4,7.7
Sweet Land,7.2,7.6
Thank You for Smoking,7.7,7.5
The Three Burials of Melquiades Estrada,7.5,7.5
Tideland,6.5,6.8
Tjenare kungen,6.1,6.3
Transamerica,7.4,7.7
Transporter 2,6.2,6.4
Tristram Shandy: A Cock and Bull Story,6.8,6.7
Twelve and Holding,7.6,7.8
V for Vendetta,8.2,8.3
Valiant,5.6,5.7
Vampire Bats,4.1,5.2
Waiting...,6.9,6.6
Walk the Line,7.9,8.1
War of the Worlds,6.5,6.4
Water,7.6,8.2
Wedding Crashers,7.1,6.7
The Wedding Date,5.6,6.4
White Noise,5.5,5.5
Wild Things: Diamonds in the Rough,4.5,4.6
Yours Mine and Ours,4.9,5.8
Zathura: A Space Adventure,6.1,6.3
13 Going on 30,5.8,6.5
2046,7.4,7.6
3-Iron,8.1,8.3
50 First Dates,6.8,6.9
A Christmas Carol: The Musical,6.1,6.9
A Cinderella Story,5.2,6.2
A Dirty Shame,5,5.4
A Good Woman,6.5,6.7
A Home at the End of The World,6.7,6.9
A Love Song for Bobby Long,7.1,7.6
A Very Long Engagement,7.8,7.8
Ae Fond Kiss...,7.2,7.2
Anchorman: The Legend of Ron Burgundy,7.3,7
Appleseed,7,7
Around the World in 80 Days,5.8,5.9
The Aviator,7.5,7.4
AVP: Alien vs. Predator,5.5,5.7
Banlieue 13,7.2,7.3
Before Sunset,8.1,8
Born Into Brothels: Calcutta's Red Light Kids,7.7,8.1
The Bourne Supremacy,7.8,7.7
Bratz the Video: Starrin' & Stylin',3.1,5.2
Bride and Prejudice,5.8,6.6
Bridget Jones: The Edge of Reason,5.4,6.4
Bring It on Again,4,4.5
The Butterfly Effect,7.7,7.7
Caribe,6.2,5
Catwoman,3.2,3.8
Cellular,6.5,6.7
The Chronicles of Riddick,6.7,6.8
Closer,7.3,7.3
Collateral,7.6,7.3
Connie and Carla,6,6.5
Corpses,3.3,4.2
Crash,7.9,8
Creep,5.6,5.6
Crimes of Fashion,4.3,5.3
Cube Zero,5.7,5.8
D.E.B.S.,4.9,6
Dawn of the Dead,7.4,7.3
The Day After Tomorrow,6.3,6.7
Der Untergang (Downfall),8.3,8.1
Dodgeball: A True Underdog Story,6.7,6.6
Double Dare,7.2,7.6
Duck Season,7.4,7.3
Ella Enchanted,6.1,6.5
Eternal Sunshine of the Spotless Mind,8.4,8.4
Eulogy,6.6,7
The Final Cut,6.2,6.3
Finding Neverland,7.7,8
Flight of the Phoenix,6.1,6.2
Garden State,7.6,7.7
Ghost Cat,5.8,6.3
Ginger Snaps 2: Unleashed,6.5,6.7
Gladiatress,4.1,4.7
The Grudge,5.8,5.8
Hana and Alice,7.5,7.5
Harold and Kumar Go to White Castle,7.2,7
Harry Potter and the Prisoner of Azkaban,7.6,8.2
Hauru no ugoku shiro (Howl's Moving Castle),8.1,8.7
He Was Cool (Geunomeun meoshiteotda),6.4,7.1
Head-On,8,8.2
Hellboy,6.8,6.8
The Holy Girl,6.6,6.6
Home on the Range,5.3,5.6
House of Voices (Saint Ange),4.9,5
I Heart Huckabees,6.8,6.7
I Robot,7.1,7.1
Immortal (Ad Vitam),6,6.1
In Good Company,6.6,6.3
In Search of Santa,4.7,5.6
The Incredibles,8,7.8
Innocence,6.9,7.2
Iron Jawed Angels,7.1,8.3
Kill Bill: Vol. 2,8,8
Kinsey,7.1,7.2
Kung Fu Hustle,7.8,7.8
Ladies in Lavender,7,7.2
Layer Cake,7.4,7.2
Lemony Snicket's A Series of Unfortunate Events,6.8,7
The Life Aquatic with Steve Zissou,7.3,7.2
Maria Full of Grace,7.5,7.7
Mean Girls,6.7,7.3
Meet the Fockers,6.3,6.4
Mickey Donald Goofy: The Three Musketeers,6.4,6.7
Million Dollar Baby,8.1,8
Miracle,7.5,7.8
Mulan II,5.5,6.1
My Summer of Love,6.9,6.8
Mysterious Skin,7.7,8
Napoleon Dynamite,6.9,6.9
National Treasure,6.8,7
Nemmeno il destino,6.9,7.5
New York Minute,4.1,5.2
Nina,6.7,6.9
Nochnoy dozor (Night Watch),6.5,7
North and South,8.1,9.2
The Notebook,7.8,8.4
Notre musique,7,6.9
Ocean's Twelve,6.3,6.6
Or,7.2,7.2
Palindromes,6.8,6.7
The Phantom of the Opera,7.1,7.8
The Place Promised in Our Early Days,7.4,7.4
The Polar Express,6.5,6.8
Primer,7,6.7
The Princess Diaries 2: Royal Engagement,5,6
Raising Helen,5.7,6.2
Ray,7.8,7.8
Resident Evil: Apocalypse,6.1,6.6
Saved!,6.8,7.2
Saving Face,7.4,7.9
Saw,7.7,7.6
Say Yes Quickly,4.3,2.6
Scooby Doo 2: Monsters Unleashed,4.8,5.4
Secret Window,6.5,6.7
Shark Tale,5.9,6.2
Shaun of the Dead,8,8
Shimotsuma monogatari (Kamikaze Girls),7.3,7.8
Shrek 2,7.2,7.4
Sideways,7.7,7.2
Sky Captain and the World of Tomorrow,6.1,6
Spanglish,6.5,6.5
Speak,7.4,7.7
Spider-Man 2,7.4,7.2
The Spirit of Jeet Kune Do,7.6,7.6
The Stepford Wives,5.1,5.5
Tales From The Crapper,4.2,5.5
Taxi,4.2,5.1
Team America: World Police,7.3,6.9
Terkel i knibe,7.1,7.3
The Terminal,7.3,7.2
They Came Back,5.9,5.9
The Third Society,3.8,4.4
Three... Extremes,7.1,7.3
Tropical Malady,7.2,7.2
Troy,7.2,7.1
Van Helsing,5.9,6.2
Vera Drake,7.7,7.7
The Village,6.5,6.7
White Chicks,5.1,5.9
The Whole Ten Yards,5.4,5.7
Wimbledon,6.3,6.5
With Blood on My Hands: Pusher II,7.3,7.3
2 Fast 2 Furious,5.6,5.9
21 grams,7.8,7.8
2LDK,7,7.4
A Tale of Two Sisters,7.3,7.5
Angels in America,8.2,8.5
Apres Vous,6.5,6.7
The Barbarian Invasions,7.7,7.7
The Best of Youth,8.5,8.5
Big Fish,8,8.1
The Blind Swordsman: Zatoichi,7.6,7.7
Bon voyage,6.9,7
Bruce Almighty,6.7,6.7
Calendar Girls,6.7,7.2
Camp,6.4,6.5
Casa de los babys,6.6,6.4
Charlie's Angels: Full Throttle,4.6,5.3
Coffee and Cigarettes,7,7.2
Cold Mountain,7.2,7.4
The Core,5.4,5.5
Cradle 2 the Grave,5.7,5.9
Daddy Day Care,5.4,5.8
Daredevil,5.4,5.4
Darkness Falls,4.8,5.2
Green Butchers,7.3,7.6
Dead Like Me,8.1,8.3
Distant Lights (Lichter),7.8,7.9
Dogville,8,8.1
Down With Love,6.2,6.5
Dreamcatcher,5.5,5.4
The Dreamers,7.1,7.4
Elephant,7.2,7.2
Final Destination 2,6.2,6.2
Finding Nemo,8.1,8.4
The Five Obstructions,7.5,7.6
The Forest for the Trees,7.4,7.5
Freaky Friday,6,6.4
Girl with a Pearl Earring,6.9,7.1
Girls Will Be Girls,6.9,6.9
Goodbye Lenin!,7.7,7.9
Gothika,5.7,6.1
Heung joh chow heung yau chow (Turn Left Turn Right),6.8,7.2
Holes,7,7.4
Hollywood Homicide,5.3,5.4
House of Sand and Fog,7.7,7.6
House of the Dead,2,2
How to Lose a Guy in 10 Days,6,6.7
Hulk,5.7,5.4
I Capture the Castle,6.9,7.3
Identity,7.3,7.4
In the Cut,5.2,5.6
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.9,8.1
It's Better to Be Wanted for Murder Than Not to Be Wanted at All,5.5,5.7
The Italian Job,7,7.1
Jeepers Creepers II,5.5,5.5
The Jungle Book 2,5.2,5.6
Kill Bill: Vol. 1,8.2,8.1
Lara Croft Tomb Raider: The Cradle of Life,5.4,5.8
The Last Samurai,7.8,7.6
Le divorce,4.9,5
The League of Extraordinary Gentlemen,5.7,6
Legally Blonde 2: Red White & Blonde,4.1,4.9
Les triplettes de Belleville,7.8,8.1
The Lord of the Rings: The Return of the King,8.9,8.9
Lost In Translation,7.9,7.6
Love Actually,7.6,8
Malibu Spring Break,2.2,2.2
The Man Who Copied,7.8,7.8
Master and Commander: The Far Side of the World,7.4,7.3
The Matrix Reloaded,7.2,7
The Matrix Revolutions,6.7,6.6
The Missing,6.4,6.7
Moi et mon blanc,6.9,5.1
Mona Lisa Smile,6.1,6.6
Monster,7.3,7.5
The Mother,6.8,7
Mystic River,8,7.9
Nothing,6.3,6.5
Oldboy,8.4,8.3
Ong-bak,7.2,7.1
Peter Pan,6.6,7.5
Pirates of the Caribbean: The Curse of the Black Pearl,8,8.3
Prey for Rock & Roll,6.1,6.8
Pride and Prejudice,5.4,5.4
Rats,3.3,4
The Recruit,6.6,6.7
The Room,3.4,3.4
Runaway Jury,7.1,7.2
S.W.A.T.,5.9,6.2
Scary Godmother: Halloween Spooktakular,6.7,8.2
Scary Movie 3,5.4,5.3
The School of Rock,7.1,7
Secondhand Lions,7.5,7.9
Shanghai Knights,6.2,6.2
Shattered Glass,7.3,7.3
Sinbad: Legend of the Seven Seas,6.6,6.9
Something's Gotta Give,6.7,6.9
Spring Summer Fall Winter... and Spring,8.1,8.1
Spy Kids 3-D: Game Over,4,4.5
Stara basn. Kiedy slonce bylo bogiem (An Ancient Tale: When the Sun was God),5.3,5.4
Sunset Story,7.2,7.6
Swimming Pool,6.7,6.8
Terminator 3: Rise of the Machines,6.4,6.2
Thirteen,6.8,7.2
Timeline,5.5,6
Tokyo Godfathers,7.8,8
Tough Luck,6.2,7
Undead,5.6,5.6
Under the Tuscan Sun,6.5,7.1
Underworld,6.9,7.2
Uptown Girls,5.6,6.3
View from the Top,5.1,5.3
Voices of a Distant Star,7.6,7.8
Wrong Turn,6.1,6.1
X2 (X-Men 2),7.5,7.6
24 Hour Party People,7.4,7.3
25th Hour,7.7,7.7
28 Days Later...,7.7,7.7
8 femmes,7,7.3
8 Mile,6.9,6.7
A Walk to Remember,7.3,7.6
About Schmidt,7.2,7
Adaptation,7.8,7.5
The Adventures of Pluto Nash,3.7,3.7
All or Nothing,7.5,7.6
Amandla! A Revolution in Four Part Harmony,7.3,7.4
Antwone Fisher,7.3,7.5
Armitage: Dual Matrix,6.4,6.6
Austin Powers in Goldmember,6.2,5.9
Bang Bang You're Dead,7.9,8.4
The Banger Sisters,5.4,5.8
Barbie as Rapunzel,4.8,6.4
Below,6.2,6.3
Bend It Like Beckham,6.6,7.1
Blade II,6.7,6.6
Blue Crush,5.5,5.9
The Bourne Identity,7.9,7.8
Cabin Fever,5.6,5.5
Carrie,5.4,5.7
Catch Me If You Can,8,8
Chicago,7,7.6
City of God,8.8,8.5
The Coast Guard,6.5,6.7
Crossroads,2.8,3.8
Cube2: Hypercube,5.6,5.8
Cypher,6.9,6.8
The Dangerous Lives of Altar Boys,7,7.3
Dark Water (Honogurai mizu no soko kara),6.7,6.7
Death to Smoochy,6.4,6.5
demonlover,5.8,5.7
Die Another Day,6.1,6.1
Divine Secrets of the Ya-Ya Sisterhood,5.4,6.5
Drumline,5.4,5.8
Equilibrium,7.6,7.8
Far from Heaven,7.5,7.4
Frida,7.2,7.8
Cold as Summer,7,6.9
Funny Ha Ha,6.4,6.2
Gangs of New York,7.6,7.3
Gerry,6.2,6.3
The Good Girl,6.5,6.5
Harry Potter and the Chamber of Secrets,7.2,7.8
High Crimes,6.2,6.6
Home Room,7.3,7.6
The Hot Chick,5.3,5.9
The Hours,7.5,7.8
The Hunchback of Notre Dame II,4.5,5
I Spy,5.4,5.3
I'm with Lucy,5.9,6.1
Ice Age,7.5,7.8
Igby Goes Down,7,7.2
The Importance of Being Earnest,6.7,7.1
Insomnia,7.2,7
Intimate Stories,7.5,7.7
