title	male_rating	female_rating	male_lines	female_lines	female_line_ratio
Amadeus	8.4	8.4	875	489	0.559
American Beauty	8.5	8.2	454	300	0.661
Austin Powers  International Man of Mystery	7.1	6.7	661	116	0.175
Badlands	7.9	7.9	454	0	0
Barton Fink	7.8	7.6	692	90	0.13
Batman	7.6	7.5	517	128	0.248
Batman Begins	8.4	8.1	632	308	0.487
Being John Malkovich	7.8	7.7	409	452	1.105
Big Fish	8	8.1	462	288	0.623
The Big Lebowski	8.3	7.9	975	125	0.128
