M	CHARACTER	DIALOGUE
F	ANDROMEDA	Do you think just anyone can make intimate judgements on the royal family?
M	PERSEUS	I meant the sunset. She regards Perseus over her glistening bare shoulder.
F	ANDROMEDA	Do you always start a seduction with an insult? Perseus moves to the rail, very close to her, and looks
M	PERSEUS	I know nothing of seduction. I'm a simple fisherman. My home is across that water.
F	ANDROMEDA	What brings you here?
M	PERSEUS	To Joppa? I was kidnapped.
F	ANDROMEDA	I mean here, tonight. He looks over at her a long moment.
M	PERSEUS	I've come to see my future wife. Startled, Andromeda suddenly realizes who he is. A mad
F	ANDROMEDA	It's not personal. You're not a bad-looking boy. I'm too young. I don't want to be married.
M	PERSEUS	Me either.
F	ANDROMEDA	Then why are you doing it?
M	PERSEUS	No one asked me. And now that I've met you, I don't know if I can go through with it. It's not personal. Seeing you makes it real. I think a man should make his own decisions. I won't be the pawn of a King or a God. She looks at him with new interest.
F	ANDROMEDA	Since we agree, it's settled. No marriage.
M	PERSEUS	I don't think it's going to be that simple. Ignoring that, she takes his arm, moving even closer.
F	ANDROMEDA	That doesn't mean we can't be friends. Get to know each other. I want to show you something. She leads him into a tall, hedged garden maze.
M	PERSEUS	I'm already lost.
F	ANDROMEDA	I'll take care of you. They take two more jogs and find themselves in an odd sylvan chamber. Soft plants have been stacked in what could be mistaken for a bed.
F	ANDROMEDA	This is my special place. No one can see or hear or even find us now.
M	PERSEUS	I don't suppose I could escape without your aid.
F	ANDROMEDA	Do you want to? When he turns back to her, she melts into his arms and down, holding her at bay.
F	ANDROMEDA	Do you not find me attractive?
M	PERSEUS	One of the most beautiful women I've ever seen.
F	ANDROMEDA	Of course, you haven't been much in the world.
M	PERSEUS	True. Maybe a lot of girls look like you.
F	ANDROMEDA	Don't you want to make love to your almost-wife? Maybe we'll find we're not compatible.
M	PERSEUS	What if we find we're very compat-- She stops him with another kiss. He starts to surrender
F	ANDROMEDA	Is it true you're a demigod?
M	PERSEUS	It seems what everyone wants to believe. Her face is inches from his. She looks into his eyes.
F	ANDROMEDA	I don't see it. But let's find out for sure... She kisses him yet again, pulling him toward the bed of into the softness. He kisses her passionately as their
F	ANDROMEDA	I think I'm becoming a believer... They start to make love. Tiamat, I know this place, but I know not why.
M	TIAMAT (V.0.)	In this chamber Zeus defiled the Queen Danae and begat the anointed demigod, who would facilitate this foul truce.
M	SET (V.0.)	Ah, the former palace of the cursed Acrisius.
M	TIAMAT (V.0.)	The King who stood against Zeus and was crushed for it, though he was not the offender. But this is not his former home...
