M	CHARACTER	DIALOGUE
M	OLD-TIMER	There's one man. A widower.
M	FINN	Where might I find him.
M	OLD-TIMER	In the Inn. Drinking. THE SOUND OF SMASHING WOOD. They turn to see --
M	OLD-TIMER	Appears he's finished.
M	BROCH	You owe me money from my pocket and money for the girl!
M	ERIC	I have it right here in my pocket. If you'll just help me up. Eric holds his hand out. Broch walks over, suspicious. When
M	BROCH	I want my money!
M	ERIC	Actually, I seem to have drunk it all. You're welcome to it when it comes out again. Broch hauls him back up to his feet. He takes a swing but Everyone has come out of the Inn to enjoy the fight. Hands lift him and -- Drop him in a horse trough. He's underwater for a few Perfume? He opens his eyes to see Finn gazing down at him.
M	ERIC	Royalty. That explains it.
M	FINN	The Queen demands your presence.
M	ERIC	Can't you see I'm having a bath?
F	RAVENNA	My brother tells me you are a widower, a drunkard and one of few who has ventured into the dark forest. Finn looks on, standing nearby.
F	RAVENNA	One of my prisoners has escaped there.
M	ERIC	Then he's dead -
F	RAVENNA	She. She shoots Finn a pointed look then looks back at Eric.
M	ERIC	Then she is certainly dead.
F	RAVENNA	Find her. Bring her to me. Eric holds her gaze, uneasy at the request.
M	ERIC	I've been to the Dark Forest enough times to know I'm not going back.
F	RAVENNA	You will be rewarded handsomely.
M	ERIC	Coin's no good to me if I'm lying dead with crows picking at my eyes. Ravenna steps off her throne now, approaching him.
F	RAVENNA	There may be more than gold in the offing.
M	ERIC	Why is her life of such value?
F	RAVENNA	That is none of your concern.
M	ERIC	I'll determine what concerns me, thank you. She smiles, moves even closer to him.
F	RAVENNA	You will do this for me, Huntsman.
M	ERIC	And if I refuse? Ravenna nods to the Guards, who pull their swords. Dying to
M	ERIC	Do me the favor. I beg of you.
F	RAVENNA	So you wish to be reunited with your beloved? Eric reacts instinctively, grabbing her by the throat. The
M	ERIC	My wife is none of your concern. Something about her face, the fact that she enjoys his hand
F	RAVENNA	My condolences. Ravenna holds his gaze.
F	RAVENNA	You miss her? His eyes say, yes, he misses her horribly.
F	RAVENNA	What would you give to bring her back? Eric stares at her curiously.
F	RAVENNA	You know of my powers. Bring me the girl and I will bring back your wife.
M	ERIC	Nothing will bring her back. Ravenna moves even closer, looks him right in the eye. She
F	RAVENNA	I can. Believe me, huntsman. Eric's eyes say he wants to believe. Needs to believe.
F	RAVENNA	A life for a life.
M	FINN	You fought in the west? Against the armies of the five kings? Eric nods without looking at him, gazing at the forest.
M	FINN	You must have seen a great deal of death?
M	ERIC	Death is everywhere.
M	FINN	Come now, you're being modest. There is a difference between gutting a deer and gutting a man. How many did you kill?
M	ERIC	It's not something I counted.
M	FINN	Nor I. But I recall every face. There is no greater delight than battle. Eric finds this unseemly, but prefers not to engage.
M	FINN	Come now, huntsman, what do you feel when you watch a man die? Delight? Invincibility? Sorrow. This takes Finn aback, not an answer he was expecting. After
M	FINN	And what of them? At the tip of your sword. What do they feel? I'd enjoy knowing. Eric looks at him, realizing from Finn's face that it is an
M	FINN	The.only difference between you and I is I'-never found a wife to save my soul.
