M	CHARACTER	DIALOGUE
F	BLOMKVIST	They're still called that.
F	VANGER	Are they? Okay. Close on a photo of Gottfried.
F	VANGER	He was a charmer, a ladies man, a drunk. In other words, a born salesman - which is what he did for the company - traveling around, taking clients out to dinner and so on.
F	BLOMKVIST	Someone has to do it. VANGER That's right. Anyway, he died in 1965. Drowned. Drunk. Here on the island. studio photo: Gottfried with his wife and two children.
F	VANGER	His wife Isabella - who was pretty much useless before as a parent - became even more so after his death - which is when I began looking after their children - Martin - who runs Vanger Industries now that I'm retired - and Harriet.
F	VANGER	She was bright and curious, a winning combination in any person. BLOMKVIST And beautiful. Vanger nods as he regards the photo ...
F	BLOMKVIST	Something happened to her?
F	VANGER	Someone in the family murdered Harriet and for the last forty years has been trying to drive me insane.
F	VANGER	It was September 21st, 1966. A Saturday. Harriet was 16.
M	VANGER V/O	My brothers - along with their wives, children and grandchildren - had gathered here for our loathsome annual board meeting and dinner. It was also the day the Yacht Club held its Autumn parade.
M	VANGER V/O	Harriet and a couple of school friends had gone into town to watch it. She returned a little after two o'clock.
M	VANGER V/O	She came to the parlor. She asked if she could talk to me. I honestly don't remember what I was doing that I thought was more important, but I told her to give me a few minutes. She leaves. He returns to the others in the room.
M	VANGER V/O	But in a few minutes, before I could go upstairs to talk to her, something else occurred. VANGER V/O The accident had nothing to do with Harriet - and everything.
M	VANGER V/O	It was chaos as everyone dropped what they were doing.
M	VANGER V/O	Police, an ambulance, fire brigade, reporter, photographer and onlookers quickly arrived from town, as those of us on the island - the family - hurried to the bridge from our side.
M	VANGER V/O	The driver of the car - a Mr. Aronsson - was pinned and severely injured. All we could do was try to pry him out with our hands - since metal tools could spark.
M	VANGER V/O	About twenty minutes after the crash, Harriet was in the kitchen. Anna herself saw her. We finally got poor Aronsson out of his car and off to the hospital, and those of us on our side drifted back to the house.
M	VANGER V/O	The sun was down, the excitement over, we sat down to dinner. That's when I noticed Harriet wasn't there.
M	VANGER V/O	And she wasn't there the next morning. Or the next. Or the next forty years.
F	VANGER	What was she going to tell me? Why didn't I make time for her? Why didn't I listen?
F	BLOMKVIST	She couldn't have run away?
F	VANGER	Not without being seen.
F	VANGER	Firemen stayed on the bridge all night pumping out the gasoline. And no one swam across, or took a row boat. All of them were still tied up on this side Sunday. Believe me, we checked.
F	BLOMKVIST	She couldn't have fallen and drowned?
F	VANGER	The currents aren't strong here. Anything that falls into the water turns up nearby. Like her father. His body didn't drift more than ten meters when he drowned the year before. Vanger's pauses at a landing to steady himself and his
F	VANGER	No. Someone killed her, Mr. Blomkvist. Someone on the island that day. Someone close enough to know what she used to give me each year on my birthday. He unlocks the door of the attic and pushes it open to
F	VANGER	These were from her.
F	VANGER	These, from her killer. Blomkvist regards the forty ...
F	BLOMKVIST	Who knows about these?
F	VANGER	Me, the police, the murderer ... and now you. It's raining as an elegantly-dressed woman slows before
M	VANGER V/O	When the police investigation petered out, I kept at it -
F	VANGER	- studying their reports and interviews, all the information there was, and it's a lot. I've spent half my life examining the events of a single day. And for all that, he's no closer to the truth.
F	BLOMKVIST	I understand your frustration. But what you're asking me to do is a waste of money. VANGER We haven't discussed your fee. BLOMKVIST We don't need to. I can't find something you haven't been able to in forty years.
F	VANGER	You don't know that. You have a very keen investigative mind. Here's what I propose: You come stay on the island. I have a nice little cottage by the water you can use. You study the material I give you. You find something I've missed - or you don't.
F	BLOMKVIST	You want me to set aside my life and career for something that's a complete waste of time.
F	VANGER	Think of it as a well deserved vacation. A way of avoiding all the people you want to avoid right now. As for compensation, I'll pay you twice your salary for as many months as it takes. I'll quadruple it if you solve the mystery.
F	BLOMKVIST	
F	VANGER	I'm not done. I'll throw in one more thing - even though you're a terrible negotiator. It's what you want more than anything else and it can't be bought at any price. I'll give it to you ... Hans-Erik Wennerstrom.
F	VANGER	He began his career working for me. And I've followed it with interest, shall we say, ever since. You were right about him. You just couldn't prove it.
M	PLAGUE	Would you like to sit? I could possibly clear a place if necessary. SALANDER Did you make it? PLAGUE Have you something for me?
M	PLAGUE	I'm on welfare; I don't administer it. This isn't enough.
F	SALANDER	I had to pay three months back rent and eat a little bit. It's all I have right now.
M	PLAGUE	I find that so poignant. So much so that he does nothing more than look at her.
M	PLAGUE	No `thank you?' ERIKA V/O You can't be serious -
F	ERIKA	We're in our worst crisis ever and you're writing a memoir? BLOMKVIST You fired me; I need something to do.
F	ERIKA	You fired you; I need you here, not the North Pole. You know what this is going to look like.
F	BLOMKVIST	Like I've been gutted. Like I'm running away. I am. They cross through the building, he with his cases, she Wennerstrom wants to see me waving a white flag, not a red one. And the more it looks like there's a problem between you and me, the more it'll satisfy him.
F	ERIKA	There is a problem between us. He won't be satisfied until he shuts us down, and you're leaving me to fight him alone. BLOMKVIST It's four hours by train. It's not the North Pole. BLOMKVIST Think this snow's going to let up anytime soon?
M	HUSSEIN	This is the North Pole. Two rooms. Fireplace. Pile of wood. A realtor would He flips open his cell phone to make a call. Gets no
F	BLOMKVIST	What. Milk?
F	BLOMKVIST	It's me. I'm here. It's fucking cold and I'm on a pay phone. If you tried to call, the reception sucks, and if you tried to email, there's none of that either, so - so - I'm here - and - I can't even speak it's so fucking cold.
M	NILSSON	I'm Gunner. The caretaker.
M	NILSSON	You're an author.
F	BLOMKVIST	I'm writing a biography of Mr. Vanger, yes.
M	NILSSON	I saw you on television.
F	BLOMKVIST	That's unfortunate.
M	NILSSON	Bit of trouble, I guess.
M	NILSSON	No jail time, though. That's good. Cost you a lot of money though, yeah?
M	NILSSON	There.
F	VANGER	The island is owned by my family. Your closest neighbor is my brother Harald, another Nazi if you can believe. Two in the family. He's detestable to put it nicely, but you'll probably never see him. He's a recluse.
