M	CHARACTER	DIALOGUE
F	MAGGIE	She's good. She likes the things you send her but would rather you show up yourself...
M	MICK	How about this weekend? This takes her by surprise. But she takes him up on it.
F	MAGGIE	Okay, I'll tell Hayley. Tonight. Only Mick-- don't cancel on her.
M	MICK	Judge, there is no way the state can claim my client is a flight
F	MAGGIE	With resources like this man has, it's always a risk-- let alone the fact that the victim was brutally
M	JUDGE	Ms. McPherson, the extent of her injuries are not the point. I'm setting bail at a million dollars... Mick wins, Maggie loses. Exchange glances--
M	VAL	What'd I tell you, Mick, we got us a franchise...
M	MICK	We'll see, Val...
M	VAL	There's the lawyer-guy, you get him to go for the cash-bond... MOVING from Val, Mick HEADS DOWN THE HALL, through the BUSY
M	MICK	Cecil Dobbs?
M	DOBBS	Mr. Haller. It was depressing to see the boy caught up in that cattle call...
M	MICK	Boy?
M	DOBBS	I've represented the family so long I think of Louis that way.
M	MICK	He did look a little frail. My advice is, let Mr. Valenzuela fix you up with a bond and take "the boy" home.
M	DOBBS	A bond? But Mrs. Windsor was thinking of putting up property...
M	MICK	No good. Assessing it will take days. By then Louis might be carrying somebody's child. So just tap Val for the bond, spring Louis, and take him to your office. We'll meet there at Four. And heads off again. Dobbs follows him out, to...
M	MICK	Yep. Media's already picked us up.
M	DOBBS	Mrs. Windsor's sensitive about the press... Mick, a beat. Then calls the cameraman over. When he comes--
M	MICK	I saw you in there filming. What's your name?
M	CAMERAMAN	Rob Gillen. They call me "Sticks."
M	MICK	You freelancing on this, Sticks?
M	STICKS	Your client's got profile, I figure I can sell it to local news.
M	MICK	How much?
M	STICKS	'Scuse me?
M	MICK	How much will they pay you for what you shot today?
M	STICKS	That depends. Seven, seven-fifty.
M	MICK	Suppose we take it off your hands for eight. Sticks hesitates, like it's not the legit thing to do.
M	MICK (CONT'D)	Or do we make it a thousand. Sticks hesitates no longer. Takes the tape from the camera
M	MICK (CONT'D)	I can expense this, right?
M	DOS	Of course. Absolutely. Sticks takes the money, goes. Dobbs, impressed, beaming now--
M	DOBBS (CONT'D)	I'll admit, Mr. Haller, you weren't my choice. You were Louis's. Frankly I'd never heard of you. But maybe I should have. Seems to me I've underestimated you.
M	MICK	Then let's talk about my fees. I'll need a hundred thousand up front. Working off five-fifty an hour, it'll come to another hundred thousand if we go to trial. That's estimating the trial at a week. Appeals, we start over. Mick's Lincoln pulls up smoothly to fetch him at the curb.
M	MICK (CONT'D)	I take it that's not a problem. Reaction Dobbs-- hesitates but has no choice. MICK GETS IN,
M	LORNA'S VOICE	How'd it go, Mickey? We get the case?
M	MICK	We've got it if we want it. I'd still like to know the state's case, what they've got on him...
M	LORNA'S VOICE	What's the difference? 'Course we want the case... Mick says nothing. Gaze out the window. Then...
M	MICK	I've got an hour til he's released. Til then I'll be at county. With Gloria. Any calls?
M	LORNA'S VOICE	Only Sticks. He says he owes you five hundred next time he sees you.
M	MICK	Yeah he does.
F	GLORIA	Mickey Mantle. You're going to bat for me again? GLORIA, redhead, 27 but good looks already fading-- greets
M	MICK	You don't even know who the Mick was. You don't look good, Gloria.
F	GLORIA	Thanks. For coming, not for the compliment. Mick's already paging through her arrest-sheet, sees...
M	MICK	Something new for you, getting booked on possession of coke, along with the usual.
F	GLORIA	Dumb, I know. A guy paid me with it, I had it on me when I went to my next.
M	MICK	And your next was a cop. She shrugs/nods. Mick keeps turning pages, looking for a
F	GLORIA	Can't you get me into one of those rehab places where they get you straight?
M	MICK	We did a pre-trial rehab, last time. The D.A. won't go for it again. You may have to do some jail here.
F	GLORIA	I can't.
M	MICK	Yeah you can. They've got programs in jail, too. Look, you've had a long run. Maybe after this you can finally get out of the life.
F	GLORIA	And do what? Have kids and plant flowers? Look at me. Mick doesn't have an answer. Opens a notebook, gets to work.
M	MICK	Okay, tell me what happened.
F	GLORIA	I did a guy at the Travel Lodge on Santa Monica...
M	MICK	The one who paid you coke instead of money?
F	GLORIA	He had a shitload in there. I saw. Which gets Mick's attention. His wheels suddenly turning...
M	MICK	Do you know who he was?
F	GLORIA	No. He reached me on my website. He was Mexican or something.
M	MICK	Did you screen him?
F	GLORIA	Don't I screen 'em all?
M	MICK	off what, his driver's license?
F	GLORIA	No, his passport. I think his name was, Hector, or--
M	MICK	Hector what? Last name. Think.
M	MICK	Moya. Hector "Arrande" Moya is what you get if you run a trace. He's Colombian, a fugitive from a Grand Jury indictment down in Florida. The DEA wants him for drug trafficking. The D.A.'s LESLIE FAIRE: a woman, well-dressed, humorless.
M	MICK (CONT'D)	Leslie? They want him a lot.
M	LESLIE FAIRE	And your girl's looking to trade?
M	MICK	She'll give you his motel and room number.
M	LESLIE FAIRE	She'll also have to testify on the coke.
M	MICK	That's a No. Location only. Your guys take it from there. My investigator says Hector hasn't checked out yet.
M	LESLIE FAIRE	What's she want in exchange?
M	MICK	You drop charges, and all she does is a Pre-trial Rehabilitation. The facility at USC-Med would be nice. Or do I take this straight to the Feds? Which, though veiled, is a threat. Leslie hates this.
M	MICK	Mrs. Windsor, this is Raul Levin. Mr. Levin's my investigator. Accepting this, everyone takes their place at the long,
M	DOBBS	Mrs. Windsor, I can't commend Mr. Haller highly enough for his performance in court this morning. Mary Windsor nods, provisionally pleased.
M	MARY WINDSOR	I have a check for you, Mr. Haller. And slides it towards him in an envelope. Mick, tries not to
M	MICK	I'm going to need that to come from your son, Mrs. Windsor. You can give him the money so he can write the check. But I want the check to come from Louis. He's my client and that's got to be clear from the start. No offense. She is offended-- but takes back the envelope, nods to LOUIS.
M	MICK (CONT'D)	Thank you. I'll expect you to support your son through this in other ways. If you're willing.
M	MARY WINDSOR	Don't be silly. I'll back my son come hell or high water. These ridiculous charges. That ridiculous woman.
M	MICK	It's good to know you'll be there when we need you.
M	MARY WINDSOR	But not now, is that it?
M	MICK	We'll be going over the case. The D.A. could make you testify about what you hear. Attorney privilege doesn't cover you. Mary Windsor's motionless a moment. Rather than respond, she
M	MARY WINDSOR	I will see you at dinner. And goes. Dobbs gets the door for her. When she's gone:
M	LOUIS	My mother built a good business. From the ground up.
M	MICK	I've got no trouble believing that. I say we get started. All agree, they sit, Mick starts up--
M	MICK (CONT'D)	Our first choice is whether we waive our right to a speedy trial.
M	LOUIS	No. I want this behind me.
M	MICK	You sure? You can stretch things out, enjoy your freedom. Most clients...
M	LOUIS	Guilty clients, you mean. I want this over. Mick's struck by how firm.
M	MICK	Fine. We go to trial right away. Puts more pressure on the D.A.
M	DOBBS	Or maybe the case never even goes to trial. Our firm's clout is considerable. Pressure can be brought to bear--
M	MI C K	Don't kid yourself, Cecil. No way the state is dropping these charges. In fact, they've already upped them-- to improve their negotiating position.
M	LOUIS	There won't be any negotiating. No plea bargain, no nothing. I'm not going to jail for something I didn't do.
M	MICK	It might not be jail.
M	LOUIS	Even if I walk. I'm innocent and if there's a trial I want to get on the stand and tell the jury I'm innocent. If that's a problem we can part company right now. Mick looks at the young man. Evaluating. Then...
M	MICK	Time to tell me what happened. Louis. Removes his Ray-Bans. SUDDENLY:
M	LOUIS (V.O.)	I was having a drink at Morgan's, Ventura Boulevard...
M	MICK (V.0.)	Morgan's, that's a singles bar, right? Camera finds LOUIS at the bar, checking out the action...
M	LOUIS (V.O. )	Right, nice place, good for pick- ups. That's why I was there. Looking to get laid, pure and simple.
M	BACK TO, LAW OFFICE	Mick, to Raul, who's holding a dark blue file:
M	MICK	Raul, what's the file say about the girl?
M	RAUL	Regina Campo, goes by "Reggie." Twenty six. An actress and a telephone solicitor.
M	DOBBS	And hoping to retire. Soon as she sues my client.
M	MICK	Did you know her before last night?
