M	ALFRED	I know. And then you lost them. That's part of living, sir. But you're not living - you're waiting. Hoping for things to go bad again. Remember when you left Gotham? Before all this. Before Batman. Seven years you were gone. Seven years I waited. Hoping that you wouldn't come back. Wayne looks at Alfred. Not understanding. Every year I took my holiday. I'd go to Florence. There's a café by the Arno... Any fine evening I would sit there and order a Fernet Branca... that one day I'd look across the tables, and see you. Sitting there with your wife. Perhaps some kids. You wouldn't say anything to me, or me to you, but we'd both know...that you'd made it. That you were happy. I never wanted you to come back to Gotham. I knew there was nothing there for you but pain and tragedy, and I wanted more for you than that. I still do. Alfred leaves Wayne to his cave. His bats.
M	DWP MAN	They wash up a couple times a month. More when in gets colder - homeless sheltering in the tunnels. We had to pull him to clear the basin, but other than that we didn't touch him... They come out by the catchment basin. Above the grille lies
M	ROSS	What?
M	BLAKE	Name's Jimmy. He's at St. Swithin's. (Off look.) The boys home where I...I coach some ball.
M	FATHER REILLY	Jimmy hadn't been here for months.
M	BLAKE	Why?
M	FATHER REILLY	You know why, Blake - he aged out. We don't have the resources to keep boys on after sixteen -
M	BLAKE	The Wayne Foundation gives money for that -
M	FATHER REILLY	Not for two years now.
M	BLAKE	He has a brother here, right?
M	FATHER REILLY	Mark. I'll tell him.
M	BLAKE	I'd like to, if that's okay.
M	BLAKE	I'm sorry.
M	BLAKE	What was he doing in the tunnels?
M	MARK	Lot of guys been going down the tunnels when they age out. Say you can live down there. Say there's work down there.
M	BLAKE	What kind of work are you gonna find in the sewers?
M	MARK	More than you can find up here, I guess. Blake considers this. Troubled.
M	STRYVER	You brought a date?
F	SELINA	I like having someone around to open doors for me.
F	SELINA	Right hand. No partials. Stryver slides a transparency out of the envelope. Holds it
M	STRYVER	Very nice. He pockets the envelope.
F	SELINA	Not so fast, handsome. You got something for me?
M	STRYVER	Oh, yes.
F	SELINA	I don't know what you're going to do with Mr. Wayne's prints...but I'm guessing you'll need his thumb. As Stryver checks the envelope again -
F	SELINA	You don't count so good, huh?
M	STRYVER	I count fine. The Second Thug puts a gun to Selina's head.
M	STRYVER	In fact, I'm counting to ten right now... Selina looks in his eyes. The Thug cocks his gun. She
F	SELINA	Okay, okay -
F	SELINA	My friend is waiting outside. Just hit 'send'...
F	JEN	Place is a little dead.
F	SELINA	It'll liven up in a minute, trust me.
F	JEN	Everything okay?
F	SELINA	Great. Catch you later. Jen leaves. Stryver checks the envelope. Satisfied.
F	SELINA	It would've been a lot easier to just give me what we agreed.
M	STRYVER	We can't have loose ends. And even in that dress, no one's going to miss you.
F	SELINA	No. But my friend over there...? Stryver looks at Selina's 'date' drooling into a bowl of
F	SELINA	Every cop in the city's missing him. Stryver looks at Selina.
M	STRYVER	Cute. But they're not gonna be looking in a place like this.
F	SELINA	I don't know... You did just use his cell phone. Stryver glances down at the cell phone as - SCREECH - the
M	SWAT	It's alright, Miss. Just stay down The SWATs barrel past, chasing the remaining Thugs back
F	SELINA	Keep some pressure on that, sweetheart. She adjusts her dress in the broken mirror behind the bar. Call me?
F	SELINA	There's a man in there - he's bleeding!
M	BLAKE	It's okay, Miss. It's okay. I've got the Congressman - bullet to the leg, but he's okay.
F	GORDON	Manhole!
F	GORDON	You three, down with me. You two, head down to cover the next exit -
M	SWAT	Where -?
F	GORDON	Get the DWP down here, now!
M	COP	Where's the DWP guy?
M	BLAKE	They went down there?
M	FOLEY	And Gordon took SWAT in after them.
M	BLAKE	Come on, we gotta get down there -
M	COP	That was a gas explosion, kid -
M	BLAKE	Gas? This is a sewer!
M	FOLEY	No one goes in there till we know what's down there.
M	BLAKE	We know what's down there, sir. The Police Commissioner!
M	FOLEY	Somebody get the hothead out of here. And get me a DWP guy! Blake backs off. Gets an idea - goes for his patrol car.
M	THUG 1	Jesus. It's the Police Commissioner.
M	THUG 2	What do we do?
M	THUG 1	Take him to Bane. The two Thugs drag Gordon down through the maze of tunnels.
M	BANE	Why are you here? The Thugs drop Gordon at Bane's feet.
M	THUG 1	Answer him! Bane slowly turns to the Thugs.
M	BANE	I'm asking you.
M	THUG 1	It's the Police Commissioner.
M	BANE	And you brought him down here?
M	THUG 2	We didn't know what to do. We -
M	BANE	You panicked. And your weakness costs three lives.
M	THUG 1	No, he's alone - Bane flips the Thug's chin up and to the side with a crack.
M	BANE	Search him. Then I will kill you. The Thug, terrified, pulls out Gordon's badge, wallet,
M	THUG 2	He's dead.
M	BANE	Then show me his body.
M	THUG 2	That water runs to any one of the outflows - we'd never find him. Bane turns to the Lead Mercenary.
M	BANE	Give me your GPS. Lead Mercenary hands him a GPS - Bane tucks it into Thug 2's
M	BANE	Follow him.
M	THUG 2	Follow him?
M	BANE	Track him. Make sure both bodies will not be found. Then brick up the south tunnel.
M	BLAKE	I need to see Bruce Wayne.
M	ALFRED	I'm sorry, Mr. Wayne doesn't take unscheduled calls. Even from police officers.
M	BLAKE	And if I go get a warrant, in the investigation of Harvey Dent's murder? Would that still count as unscheduled?
M	WAYNE	What can I do for you, officer?
M	BLAKE	Commissioner Gordon's been shot.
M	WAYNE	I'm sorry to hear that -
M	BLAKE	He chased a gunman down into the sewers. When I pulled him out he was babbling about an underground army. A masked man called 'Bane'.
M	WAYNE	Shouldn't you be telling this to your superior officers?
M	BLAKE	I did. One of them asked if he saw any giant alligators down there. He needs you. He needs the Batman.
M	WAYNE	If Commissioner Gordon thinks I'm the Batman he must be in a bad way He doesn't know or care who you are. (Off look.) But we've met before. When I was a kid. At the orphanage. See, my mom died when I was small. Car accident, I don't really remember it. But a couple of years later my dad was shot over a gambling debt. I remember that just fine. (Looks at Wayne.) Not a lot of people who know what it feels like, do they? To be angry. In your bones. People understand, foster parents understand. For a while. Then they expect the angry kid to do what he knows he can never do. To move on. To forget.
M	BLAKE	So they stopped understanding and sent the angry kid to a boys' home - St. Swithin's. Used to be funded by the Wayne Foundation. See, I figured it out too late. You have to hide the anger. Practice smiling in the mirror. Like putting on a mask. You showed up one day in a cool car, pretty girl on your arm. We were so excited - Bruce Wayne, billionaire orphan. We made up stories about you. Legends. The other boys' stories were just that. But when I saw you I knew who you really were... (Beat.) I'd seen that look on your face. Same one I taught myself. Blake gets up to leave. Wayne is lost in thought.
M	BLAKE	I don't know why you took the fall for Dent's murder, but I'm still a believer in the Batman. Even if you're not.
M	WAYNE	Why did you say your boys' home used to be funded by the Wayne Foundation?
M	BLAKE	Because the money stopped. Might be time to get some fresh air and start paying attention to the details. Some of those details might need your help.
M	WAYNE	You checked that name? 'Bane' -
M	ALFRED	Ran it through some databases. He's a mercenary. No other known name. Never been seen or photographed without a mask. He and his men were behind a coup in West Africa that secured mining operations for our friend John Daggett.
M	WAYNE	Now Daggett's brought them here?
M	ALFRED	It would seem so. I'll keep digging.
M	WAYNE	Why did the Wayne Foundation stop funding boys' homes in the city? The Foundation is funded from the profits of Wayne Enterprises...
M	WAYNE	Time to talk to Mr. Fox, I think.
M	ALFRED	I'll get him on the phone -
M	WAYNE	No. Do we still have any cars around the place? One or two.
M	WAYNE	And I need an appointment at the hospital. About my leg.
M	ALFRED	Which hospital, sir?
M	WAYNE	Whichever one Jim Gordon's in.
M	MIRANDA (V.O.)	Mr. Fox, I believe in what Mr. Wayne was trying to do...
F	MIRANDA	I'm only asking for explanations because I think I can help.
M	FOX	I'll pass along your request. Next time I see him. Miranda catches something in this.
F	MIRANDA	He doesn't talk to you either?
M	FOX	Let's just say that Bruce Wayne has his...eccentricities. Mr. Fox, are you aware that John Daggett is trying to acquire shares in Wayne Enterprises? I was not. But it wouldn't do him any good - Mr. Wayne still retains a clear majority. Miranda leaves. Fox moves into his office - stops.
M	FOX	Bruce Wayne. As I live and breathe. Wayne rises, pushing hard on his cane.
M	FOX	What brings you out of cryo-sleep Mr. Wayne?
M	WAYNE	I see you haven't lost your sense of humor...even if you have lost most of my money.
M	FOX	Actually, you did that yourself. See, if you funnel the entire R and D budget for five years into a fusion project that you then mothball, your company is unlikely to thrive.
M	WAYNE	Even with -
M	FOX	A wildly sophisticated CEO, yes. Wayne Enterprises is running out of time. And Daggett is moving in.
M	WAYNE	What're my options?
M	FOX	If you're not willing to turn your machine on -
M	WAYNE	I can't, Lucius.
M	FOX	Then sit tight. Your majority keeps Daggett at arm's length while we figure out a future for the energy program with Miranda Tate - she's supported your project all the way. She's smart, and quite lovely.
M	WAYNE	You too, Lucius?
M	FOX	We all just want what's best for you, Bruce. Show her the machine.
M	WAYNE	I'll think it over.
M	FOX	Anything else?
M	WAYNE	No, why?
M	FOX	These conversations always used to end with some...unusual requests.
M	WAYNE	I retired.
M	FOX	Let me show you some stuff, anyway. Fox hits a button - the bookcase opens into a hidden
M	WAYNE	I figured you'd have shut this place down.
M	FOX	It was always shut down, officially.
M	WAYNE	But all this new stuff?
M	FOX	After your father died, Wayne Enterprises set up fourteen different defense subsidiaries. I've spent years shuttering them and consolidating all the prototypes under one roof. My roof.
M	WAYNE	Why?
M	FOX	Stop them falling into the wrong hands. Besides, I thought someone might get some use out of them... Wayne shakes his head.
M	FOX	Sure I can't tempt you to something? Pneumatic crampons? Infrared lenses? Least let me get you something for that leg.
M	WAYNE	It's fine the use it gets these days.
M	FOX	Well, then I have just the thing for an eccentric billionaire who doesn't like to walk... Fox opens a door - we glimpse a sleek vehicle. Wayne's eyes
M	WAYNE	Now you're just showing off.
M	FOX	Defense Department project for tight-geometry urban pacification. Rotors configured for maneuvering between buildings without recirculation.
M	WAYNE	What's it called?
M	FOX	It has a long and uninteresting Wayne Enterprises designation. So I took to calling it the Bat. And yes, Mr. Wayne, it does come in black. Wayne touches its sleek side. Marveling.
M	FOX	Works great except for the autopilot.
M	WAYNE	What's wrong with that?
M	FOX	Software-based instability. Take a better mind than mine to fix it.
M	WAYNE	Better mind?
M	FOX	I was trying to be modest. A less busy mind. Yours, perhaps. Wayne looks wistfully at the machine. Turns away.
M	WAYNE	I told you. I retired, Lucius.
M	DOCTOR	I've seen worse cartilage in knees
M	WAYNE	That's good -
M	DOCTOR	No, that's because there is no cartilage in your knee. And not much of any use in your elbows and shoulders. Between that and the scar tissue on your kidneys, residual concussive damage to your brain tissue and general scarred-over quality of your body... (Takes a deep breath.) I cannot recommend that you go heli-skiing. About the only part of your body that looks healthy is your liver, so if you're bored I recommend you take up drinking, Mr. Wayne. Wayne smiles. The Doctor leaves. Wayne pulls on a ski mask,
F	GORDON	We were in this together. Then you were gone...
M	WAYNE	The Batman wasn't needed anymore. We won.
F	GORDON	Built on a lie. Our lie. Now there's evil rising from where we tried to bury it. Nobody will listen... The Batman has to come back. What if he doesn't exist anymore?
F	GORDON	He must. He must.
M	JEN (O.S.)	I told you - money first -
M	YUPPIE (O.S.)	Goddammit, you took my wallet!
F	SELINA	Get out. She took my wallet! Selina twists his arm behind him in a blinding move.
F	SELINA	Now. She releases the Yuppie, who moves off down the stairs.
F	SELINA	I told you not to try it with the assholes, Jen.
F	JEN	They're all assholes.
F	SELINA	Okay, the assholes who hit.
F	JEN	I don't know what he's so upset about, he only had sixty bucks in here.
F	SELINA	Probably the watch.
M	YOUNG WOMAN	Watch? Selina opens her hand and gives Jen the Yuppie's Rolex.
M	PAPARAZZI	Another stiff too old to climb out of his sports car.
M	PAPARAZZI 2	No, that's Bruce Wayne! Hey, Wayne, where you been hiding? Lenses swing onto Wayne, who pushes a button on his key fob
M	WAYNE	I'm not sure if my assistant put me on the guest list -
M	GREETER	Right through here, Mr. Wayne...
M	MIRANDA (O.S)	Bruce Wayne at a charity ball? Wayne turns to find Miranda Tate, amazed, a small mask her
M	WAYNE	Miss Tate, isn't it?
F	MIRANDA	Even before you became a recluse, you never came to these things...
M	WAYNE	True. Proceeds go to the big fat spread, not the cause. It's not about charity, it's about feeding the ego of whichever society hag laid it on.
F	MIRANDA	Actually, this is my party, Mr. Wayne.
M	WAYNE	Oh.
F	MIRANDA	And the proceeds will go where they should, because I paid for the big fat spread myself.
M	WAYNE	That's very generous of you.
F	MIRANDA	You have to invest to restore balance to the world. Take our clean-energy project...
M	WAYNE	Sometimes the investment doesn't pay off. Sorry.
F	MIRANDA	You have a practiced apathy, Mr. Wayne. But a man who doesn't care about the world doesn't spend half his fortune on a plan to save it... (Gentle.) And isn't so wounded when it fails that he goes into hiding... Wayne looks at Miranda. Intrigued.
F	MIRANDA	Have a good evening, Mr. Wayne. Wayne watches Miranda glide away. Then turns to Selina.
M	WAYNE	Mind if I cut in? Rich Twit turns, annoyed - Wayne hands him his cane. Takes
M	WAYNE	You don't seem very happy to see me.
F	SELINA	You were supposed to be a shut-in.
M	WAYNE	Felt like some fresh air.
F	SELINA	Why didn't you call the police?
M	WAYNE	I have a powerful friend who deals with this kind of thing. (Admires her cat ears.) Brazen costume for a cat burglar.
F	SELINA	Yeah? Who are you pretending to be?
M	WAYNE	Bruce Wayne, eccentric billionaire. Who's your date?
F	SELINA	His wife's in Ibiza. She left her diamonds behind, though. Worried they'd get stolen. It's pronounced 'Ibeetha'. You wouldn't want these folks realizing you're a crook not a social climber.
F	SELINA	You think I care what anyone in this room thinks about me?
M	WAYNE	I doubt you care what anyone in this room thinks about you.
F	SELINA	Don't condescend, Mr. Wayne. You don't know a thing about me.
M	WAYNE	Well, Selina Kyle, I know you came here from your walk-up in Old Town - modest place for a master jewel thief. Which means either you're saving for your retirement - or you're in deep with the wrong people. You don't get to judge me because you were born in the master bedroom of Wayne Manor.
M	WAYNE	Actually, I was born in the Regency Room.
F	SELINA	I started off doing what I had to. Once you've done what you had to they'll never let you do what you want to.
M	WAYNE	Start fresh.
F	SELINA	There's no fresh start in today's world. Any twelve-year-old with a cell phone could find out what you did. Everything we do is collated and quantified. Everything sticks. We are the sum of our mistakes. Or our achievements.
F	SELINA	The mistakes stick better. Trust me.
M	WAYNE	You think that justifies stealing?
F	SELINA	I take what I need to from those who have more than enough. I don't stand on the shoulders of people with less.
M	WAYNE	Robin Hood?
F	SELINA	I'd do more to help someone than most of the people in this room. Than you.
M	WAYNE	Maybe you're assuming too much.
F	SELINA	Or maybe you're being unrealistic about what's really in your pants other than your wallet.
M	WAYNE	Ouch.
F	SELINA	You think all this can last? Wayne glances around at the sumptuous party.
F	SELINA	There's a storm coming, Mr. Wayne. You and your friends better batten down the hatches, because when it hits you're all gonna wonder how you ever thought you could live so large and leave so little to the rest of us.
M	WAYNE	Sounds like you're looking forward to it.
F	SELINA	I'm adaptable.
M	WAYNE	These pearls do look better on you then they did in my safe... But I still can't let you keep them. You scared her off.
M	WAYNE	Not likely.
M	WAYNE	I must have lost my ticket -
M	VALET	Your wife said you were taking a cab home, sir.
M	WAYNE	My wife?
M	ALFRED	Just you, sir? Don't worry, Master Wayne. Takes a little time to get back into the swing of things. Wayne dials his phone.
M	FOX (O.S.)	This is Fox.
